username,created_at,full_text
suicidyingg,Mon Apr 07 15:21:21 +0000 2025,it's funny how the sentence kalau gelap cari solusi bukan kabur coming from someone yg kabur ke yordania di taun 1998 alias km kan pelopor #kaburajadulu ndut nduttt
J5rth,Mon Apr 07 15:21:19 +0000 2025,@chevzie ln si lumayan bisa #kaburajadulu + pengalaman baru karena bahasa yang dipake bukan indo
heyitskylo,Mon Apr 07 15:18:42 +0000 2025,GUENDENG IKI lu kan #kaburajadulu ke yordania wok 
kazushorimitski,Mon Apr 07 15:13:19 +0000 2025,@hirotocintaku Wah gatau kalo itu awkwk Tapi emang yg gasuka bukan negara lain aja sih. Warga nya mulai gak betah juga katanya denger2 da yg mulai menyerukan KaburAjaDulu di sana 
furretwalkin,Mon Apr 07 15:09:01 +0000 2025,termasuk saya apaan kocak lu ae #kaburajadulu ke yordania
akunteansi,Mon Apr 07 15:08:23 +0000 2025,lah elu yg mulai #kaburajadulu kan elu minggat ke Yordania wok
KooZ72,Mon Apr 07 15:05:45 +0000 2025,@onlytusik adili jokowi atau #kaburajadulu
wonpirification,Mon Apr 07 14:58:36 +0000 2025,kaburajadulu (k plukanmu)
nuguseey0u,Mon Apr 07 14:57:14 +0000 2025,@jeyjesperr Wow congrats selamat menjadi salah satu orang terpilih untuk kaburajadulu
RisFinity,Mon Apr 07 14:54:41 +0000 2025,@A_VirgiJKT48 KaburAjaDulu?
peletsindik,Mon Apr 07 14:53:23 +0000 2025,Semenjak viral #kaburajadulu.. ramai berita pembegalan organ tubuh TKI di Kamboja dengan resolusi video dan frame yg tidak jelas. ini kek semacam skema menakut-nakuti gak sih? Dan smp skrg siapa2 aja nama korbannya kok gak pernah muncul dipermukaan ya? #tanyanetizen
Vincejius,Mon Apr 07 14:53:00 +0000 2025,Promosi #KaburAjaDulu terlalu kenceng dek. 
fnxmvldk,Mon Apr 07 14:48:10 +0000 2025,keliatan bgt pengen kaburajadulu nya
onmysoulmahaeng,Mon Apr 07 14:46:12 +0000 2025,YA ELU LAH PEMERENTAH YG CARI SOLUSI Justru #kaburajadulu ke LN itu jd solusi buat rakyat yg pengen ubah nasib gegara udah hopeless ama ini negara yg bnyk drama n asbun dan bukan bantu ksh solusi lewat kebijakannya
hikmalways,Mon Apr 07 14:43:02 +0000 2025,@A_VirgiJKT48 Kaburajadulu
xixixiJeksi,Mon Apr 07 14:39:47 +0000 2025,@A_VirgiJKT48 yuk lah #kaburajadulu
mohpmbd_,Mon Apr 07 14:39:24 +0000 2025,@siiemak Ra melu #KaburAjaDulu mak? 
esthimmel,Mon Apr 07 14:36:47 +0000 2025,apkh sdh waktuny kaburajadulu https://t.co/ln7TW7N0Es
cruzozzan,Mon Apr 07 14:34:49 +0000 2025,@nurholicID #kaburajadulu Tapi kemana?
_0106260267,Mon Apr 07 14:33:57 +0000 2025,@A_VirgiJKT48 Memang situasi negara lagi kacaw.. jangan #kaburajadulu ingat isukan tetep sakola!
hirokatwa,Mon Apr 07 14:30:59 +0000 2025,@anggasuljaya #kaburAjadulu kmn nya dipikir nanti
alrpdi,Mon Apr 07 14:28:12 +0000 2025,@N_IntanJKT48 #kaburajadulu wkwk
deraimataair,Mon Apr 07 14:27:31 +0000 2025,@pandji Gua ga tau sampek kapan pejabat sadar mementingkan rakyat daripada mementingkan kawan lawan keluarga ataupun partainya. Semoga saja anak cucuku dilindungi dari korban yg ga benar ngatur konoha &amp; smg mrk bisa #kaburajadulu
kdjfwksi,Mon Apr 07 14:22:59 +0000 2025,@baseconvo Emang bener mending #kaburajadulu bjir
geordhann,Mon Apr 07 14:22:20 +0000 2025,@A_VirgiJKT48 #kaburajadulu kahh dek?
RioRichocho,Mon Apr 07 14:20:32 +0000 2025,Ini kukasih tau benefit ga punya kendaraan/rumah pribadi ️ ga repot bayar parkir yg exonerating itu ️ ga takut kendaraan dimaling ️ ga perlu was-was ama mafia tanah ️ mati ya mati aja ga ada drama warisan ️ kalau mau #KaburAjaDulu ga ada harta yg nyangkut di Indo
GustiAlfianto,Mon Apr 07 14:19:10 +0000 2025,@JnL_k Selamanya #KaburAjaDulu
Ghzyyeaa,Mon Apr 07 14:17:14 +0000 2025,@A_VirgiJKT48 Waduh langsung keliling indo #kaburajadulu ya?
ma_juniorrr,Mon Apr 07 14:16:31 +0000 2025,@A_VirgiJKT48 Hei hei wkwk Apakah pirji udah menganut #kaburajadulu
ZatsuBisaZyBisa,Mon Apr 07 14:16:18 +0000 2025,@A_VirgiJKT48 malah #KaburAjaDulu berdua aku ikut dong
Soheew,Mon Apr 07 14:15:35 +0000 2025,@ganasf MALU BANGET DIQRT #kaburajadulu
sewaphic,Mon Apr 07 14:14:57 +0000 2025,Aneh padahal dia kan pelopor nomer saty #kaburajadulu ckckck
sillbedumb,Mon Apr 07 14:00:31 +0000 2025,gue kalo #KaburAjaDulu kayanya pengen ke jepang dah biar bisa koleksi sulipan rare
WongisJawanicus,Mon Apr 07 13:56:16 +0000 2025,@GossipBukan @JennyJusuf GEDEG BGT SAMA KALIAN TERUTAMA YANG CEWEK.. SISTEM BURUK MALAH KALIAN DUKUNG.. even yg protes lebay harusnya kalian KHUSUSNYA WANITA DUKUNG DONG PERBAIKAN SISTEM BPJS YG ENTAH LAH AKU HARUS NGOMONG PAKE BAHASA APA.. bukan malah bully rame2..udah bener emang #KaburAjaDulu #fvck
nrikhsn_,Mon Apr 07 13:53:43 +0000 2025,@GossipBukan @JennyJusuf Mbak/ mas mau #kaburajadulu tetep aja di LN jg kalo masuk RS kudu persiapan apalgi melahirkan masak iya gk punya buku kia demi apapun di Jerman yg kesehatan nya numer wahid aja klo gak punya dokumen ini itu jg bakal dibiarin
spiderjieee,Mon Apr 07 13:39:29 +0000 2025,@sijeunize gk pake # kaburajadulu ???
yeatji,Mon Apr 07 13:34:54 +0000 2025,@MYGLADIES THALAAAA makasih 10M nya buat modal #KaburAjaDulu
ryan_nira,Mon Apr 07 13:32:00 +0000 2025,Bentuk support untuk program #KaburAjaDulu️
degenrama83,Mon Apr 07 13:31:24 +0000 2025,CEPET #KABURAJADULU 
whodewa,Mon Apr 07 13:29:03 +0000 2025,Pelopor #KABURAJADULU ..... sampai sekarang gak pulang-pulang... kalah bang Thoyib....
PrU34h4n,Mon Apr 07 13:27:28 +0000 2025,@neVerAl0nely Aneh di negeri konoha ini manusia² sampah bisa mendapat jabatan sementara org² pintar dan jujur selalu tersingkirkan Wajar² saja kalau sampai ada tagar #kaburajadulu 
Shetyaria98,Mon Apr 07 13:17:51 +0000 2025,@Itsmeee_Al Atau yg ini ceweknya pura2 jadi sosialita demi bisa kaburajadulu https://t.co/E4MKV0SfWi
DataZakee,Mon Apr 07 13:07:03 +0000 2025,@ARSIPAJA Benar. Akhirnya yang pintar2 ikut program #KaburAjaDulu ️️... Akhirnya bangsa ini yg sisa hanya pemimpin bodoh bin pandir. #PrabowoGibranMundurSaja https://t.co/U0w0j9jGG3
JumlahRiemann,Mon Apr 07 13:03:31 +0000 2025,@NarasiNewsroom Ini serius gasih mau ngasih pencerahan ke publik? Kalo jelasin sesuatu tapi dipotong waktu gitu terus kontennya ikut kepotong masyarakat mau dapet apa? Elah udah bikin UU gak ngundang rakyat bikin penjelasan juga gak mikirin rakyat. #KaburAjaDulu
NgapainHey,Mon Apr 07 11:26:11 +0000 2025,Pangen #kaburajadulu ya tuhan
ir_hafidz,Mon Apr 07 11:25:46 +0000 2025,@kompascom Pak @ChatibBasri kok disitu? Nggak #KaburAjaDulu pak *I know he's part of DEN
choconaaad,Mon Apr 07 11:21:05 +0000 2025,mff bukannya gamau membantu utk #KaburAjaDulu tp emng line up nya segitu porsinya ekwkwkk salahin @CHUANGASIA pls 
rempeyektahu,Mon Apr 07 11:18:51 +0000 2025,dah kek #KaburAjaDulu️ https://t.co/AtcxoLfVmY
chocoohazlnt,Mon Apr 07 11:12:28 +0000 2025,@_callmefaa #kaburajadulu gasi
ggeomsa,Mon Apr 07 11:11:45 +0000 2025,mungkin famplan ini ikut # kaburajadulu ya jadi berjayanya ngga di domestik
JukiHoki,Mon Apr 07 11:09:24 +0000 2025,Pak Prabowo kirim koper buat hampers lebaran. Ternyata hampers gue selevel ama presiden. Beda isinya doang. Punya gue versi efisiensi dan bahan #KaburAjaDulu ke Jukilandia https://t.co/QBFwpau3FJ
GossipBukan,Mon Apr 07 11:02:52 +0000 2025,@JennyJusuf GEDEG BGT SAMA KALIAN TERUTAMA YANG CEWEK.. SISTEM BURUK MALAH KALIAN DUKUNG.. even yg protes lebay harusnya kalian KHUSUSNYA WANITA DUKUNG DONG PERBAIKAN SISTEM BPJS YG ENTAH LAH AKU HARUS NGOMONG PAKE BAHASA APA.. bukan malah bully rame2.. udah bener emang #KaburAjaDulu
fajri_singad,Mon Apr 07 10:59:30 +0000 2025,#MudikAsyikBersamaBUMN2025 mana asiknya @erickthohir @asdp191 @prabowo @Gerindra #IndonesiaGelap #KaburAjaDulu
epressss,Mon Apr 07 10:57:01 +0000 2025,liat ekonomi hari ini gua jadi berfikir kalau nasionalisme hanya ideologi yang relatif baik dengan propaganda tingkat negara(upacara hari kemerdekaan). jadi gua bisa delusional lalu jadi wna illegally dan memilih tidak peduli kapanpun gua mau. #KaburAjaDulu sejak dalam pikiran.
akarprana,Mon Apr 07 10:55:33 +0000 2025,Kemarin sempet ngetwit: bengong di atas rooftop kantor mikirin rakyat yang gak bisa kaburajadulu. Tetep kena. Wkwkwkwk.
himesaka__,Mon Apr 07 10:51:32 +0000 2025,dengan adanya hal macam kaburajadulu yaudah terpecah konsentrasinya. Parahnya seringkali hashtag mcm Indonesiagelap yg harusnya bs jadi satu suara keresahan thdp negeri ini malah kerap ditungangi wibu untuk suarakan kaburajadulu dengan promosi ala propaganda 3A modern nya. :(
himesaka__,Mon Apr 07 10:49:41 +0000 2025,kenapa demo kebijakan trump di US bisa rame (terlepas itu gambar beneran atau ngga or hasil rekayasa AI) karena mereka satu suara resah dgn kebijakan negaranya ga kaya sini yg dikit2 kaburajadulu (yg mana ini mah akal2an wibu dan wibu desperate yg obses ama jpunk aja). cont. https://t.co/IX78C2i1Lh
minaslogs,Mon Apr 07 10:12:23 +0000 2025,Sudah kubilang warga lokal nih bakalan baik ke org luar yg ngerti bahasa mereka Jadi ayo belajar bahasa Korea dan kaburajadulu. https://t.co/GvBPNUiXYW
Kazoku99175690,Mon Apr 07 10:11:30 +0000 2025,@ARSIPAJA #KaburAjaDulu peduli setan dengan nasionalis negara juga g becua ngurus kita sebagai rakyat ini.
PHN316,Mon Apr 07 10:07:28 +0000 2025,@sadarrdirii Kaburajadulu
bloomhours,Mon Apr 07 09:58:00 +0000 2025,@ngabgyuu iya plis better #KaburAjaDulu 
Satoyuyuu,Mon Apr 07 09:53:41 +0000 2025,@mimitwopointo wallahi kenapa aku jadi WNI #kaburajadulu has embraced
hanfa13,Mon Apr 07 09:48:57 +0000 2025,@tanyakanrl Dari saya yg keluarganya mayoritas PNS. Kalo saya pribadi lebih baik #KaburAjaDulu ‍️
danggeunbooks,Mon Apr 07 09:48:34 +0000 2025,Halo!! Buat kamu yg mau explore Seoul Climate Card ready stock nih di Tokped &amp; Shopee Bisa naik bus &amp; subway sepuasnya tinggal pilih paket harian di mesin tiket Mau hemat &amp; praktis tur di Korea? Yuk amanin duluan DM buat dapetin harga spesialnya #KaburAjaDulu https://t.co/ZnbqvpPXrc
tsaytsrxf4369,Mon Apr 07 09:32:17 +0000 2025,-TW- ya iyalah #KaburAjaDulu menggema orang yang capek-capek belajar dikalahin sama buzzeRp islamophobe zionazi macem ini orang https://t.co/EPsOlt4f2K
Damasarawr,Mon Apr 07 09:29:12 +0000 2025,@justitoadi Pusing Mas rekening menipis info #KaburAjaDulu gasih? Wkwkwkw
Yawaisme,Mon Apr 07 09:19:38 +0000 2025,@Outstandjing Nyi roro kidul dah gaada njir dia itu sekarang udah pindah ke Australia ggra kelamaan kesepian di tengah laut. Nyi Roro kidul termasuk gelombang pertama #KaburAjaDulu
revolutionaRio,Mon Apr 07 09:18:59 +0000 2025,Plot twist. Pak Trump bikin huru-hara ekonomi sedunia biar gak ada orang Indonesia #KaburAjaDulu
arklne,Mon Apr 07 09:14:26 +0000 2025,Jangan mau jadi ikutan bodoh ya dek yaaa. Ngga ada ruginya kok jadi orang pintar sambil jalin networking dan pastinya upgrade diri trs dg rajin belajar + perbaiki attitude. Nanti jan lupa jg bwt #KaburAjaDulu 
ItsVergil666,Mon Apr 07 09:12:55 +0000 2025,ngerekam semut. #ViralVideos #VideoLucu #lucu #ngakakbangsat #KaburAjaDulu https://t.co/rgrkreAhfz
fierzafajri,Mon Apr 07 09:07:28 +0000 2025,@xalfsyr #KaburAjaDulu enaknya kemana ya mas?
youngkyu_,Mon Apr 07 09:00:54 +0000 2025,@vantaebluee di negara ini butuhnya duit biar bisa #.kaburajadulu
inkangsty,Mon Apr 07 08:53:53 +0000 2025,Imagine Gaia beneran ke Manchester sama Max terus dia jalan2 living her best life sama Mayana Max yg kerja sama Peter. Hastag kaburajadulu sukses https://t.co/7PlSc8dE8S
luckyars02,Mon Apr 07 08:52:43 +0000 2025,@ch_chotimah2 Ngakak sengakak ngakak nya ... Sekarang Jd kepikiran #kaburajadulu
eunikero,Mon Apr 07 08:50:28 +0000 2025,Temen gue yg sekeluarga all in 02 kmrn cerita kl dia pny rencana #kaburajadulu ke Aussie tahun depan. Gue cm bs senyum kecut.
_michaelks,Mon Apr 07 08:21:28 +0000 2025,ya Tuhannnnnnn ni negara kenapaa? anjlok gini saham bank kelar s1 mau cabut ae la #kaburajadulu https://t.co/K6MvsiQXCy
chagiyoon,Mon Apr 07 08:04:58 +0000 2025,@dorinoring tambahin hastag #KaburAjaDulu kak jangan lupa XIXIXIXIXIXIXIXI
tukangrebahan,Mon Apr 07 07:28:11 +0000 2025,@cyj333car iya udh paling bener mah dibalikin trs lu berusaha apply beasiswa ke prancis atau minta olivier yg bayarin nanti kl lu udh kerja lu ganti uangnya trs lu bedua hidup layak di sana alias #kaburajadulu
jagongoprek,Mon Apr 07 07:13:37 +0000 2025,Minna no Nihongo adalah salah satu buku teks paling populer untuk belajar bahasa Jepang. Edisi ini: - Second Edition - Dilengkapi dengan terjemahan dan catatan tata bahasa - Versi bahasa Indonesia https://t.co/RELO4h7tkB . #kaburajadulu
Kong_x_kongg,Mon Apr 07 06:54:31 +0000 2025,@ommi_siregar #kaburajadulu ke yordania seperti dulu pak...
dirgaten,Mon Apr 07 06:54:24 +0000 2025,@renspacew Adalah benar. Dari pada cinta tanah air tp dibabat terus mending #KaburAjaDulu yang lebih menjamin keberlangsungan hidup kita kedepannya. Si Gerald juga pasti gamau pengantin nya itu hidup susah mana udh berjuang eh malah dibabat juga. Tau gtu dia ikut sm Gerald 
renspacew,Mon Apr 07 06:49:08 +0000 2025,SUMPAAAH INI LUCU BANGET. EMANG HARUS #KaburAjaDulu daripada memilih tanah air atau cinta beda dunia ini #Sikap
its_twelve30,Mon Apr 07 06:48:05 +0000 2025,@krnwsly8 Baik nya kaburajadulu. Beneran! Aku pun udah siap2 besok sm keadaan market Vietnam lgsg issued kebijakan begitu import tariff mereka di kenain 46% Indonesia masih pada liburan wkwk impactnya baru ketauan besok
Joominah,Mon Apr 07 06:29:36 +0000 2025,@mrslertratkosum Udah cocok jdi khun thai 100% ak dukung Bian kaburajadulu itu
xoxoalei,Mon Apr 07 06:17:37 +0000 2025,Emg kykny tuh sengaja dah dibiarin nembus smpe 17rb biar kt tuh kg bs kemana2 krna smuanya jd MAHAL Ohnooo apkah #kaburajadulu akan punah
woofyouu,Mon Apr 07 06:12:01 +0000 2025,@fakemessiiahh @intinyadeh Elo aja ah gue mw kaburajadulu
gertzds,Mon Apr 07 06:09:54 +0000 2025,Kaburajadulu adakah yg mau angkut akuu
Paramecwara,Mon Apr 07 06:04:28 +0000 2025,Udah bener deh yang masih gen-z mendingan #kaburajadulu https://t.co/b6CHsiYRSw
FuzaFirdaus,Mon Apr 07 05:58:56 +0000 2025,Prabowo-Gibran sangat visioner pemerintahannya mengambil berbagai paket kebijakan yang menurunkan nilai Rupiah terhadap Ringgit menguntungkan kita untuk #KaburAjaDulu ke Malaysia. Semakin mantap menuju Indonesia Bubar 2030 Kalimantan Merdeka! https://t.co/YMtAHM22SK
HuhuMoko,Mon Apr 07 05:50:22 +0000 2025,@Ge1Te @wietj4k @msaid_didu Gw cinta dong..emang lu!! #KaburAjaDulu tp kaga kabur2.. Kaga ada yg nrima grombolan coro didu
otirduyab,Mon Apr 07 05:37:24 +0000 2025,#kaburajadulu hello wassap my name is abiyyu im from jakarta selatan it mean jakzel abiezzz https://t.co/iikxR1AHqN
choconaaad,Mon Apr 07 05:30:54 +0000 2025,@by_soo22 ayok bantu bian #KaburAjaDulu 
samyuku,Mon Apr 07 05:09:00 +0000 2025,Jalur alternatif #KaburAjaDulu Datang ke Korea jadi nelayan / pelaut tapi lalu diangkat jadi penduduk tetap karena menolong warga lokal. Congrats! https://t.co/I7aPOwGhgx
Targeiryen,Mon Apr 07 05:08:28 +0000 2025,indon abis lebaran makin brongs anjinggg.. bagusnya #kaburajadulu kemana yaa biar bisa menikah dengan permpuan juga i love perempuan
Sulthan_Afif_,Mon Apr 07 04:49:08 +0000 2025,@hldnnjm @kemalanugrahm Saatnya #kaburajadulu https://t.co/Tha757cRrp
dowoonax6,Mon Apr 07 04:40:35 +0000 2025,@_nitrogencair Tapi kakak besok udah #kaburajadulu
aagunawan_,Mon Apr 07 04:36:02 +0000 2025,@soulofdanny_ @KangSemproel kirain mau #KaburAjaDulu
hanji_hanjisong,Mon Apr 07 04:35:27 +0000 2025,Lagu penyemangat #KaburAjaDulu #TolakRUUPolri #CabutRUUTNI
parkhan_ey,Mon Apr 07 04:22:39 +0000 2025,jgn cari job di indo bi... mending #kaburajadulu ke thai dah
askDika,Mon Apr 07 04:22:33 +0000 2025,Ayo #kaburajadulu. Kita tinggalkan negara bodoh ini dan berciuman di negara yang ramah pejalan kaki dan berupah minimum layak itu.
danggeunbooks,Mon Apr 07 04:00:26 +0000 2025,Mau lulus JLPT N5 tapi waktunya mepet? Tenang pake ini siap taklukin Moji Goi Bunpo dalam 15 hari Dari latihan katakana &amp; 110 kanji dasar kosa kata tematik sampai grammar + contoh kalimat. Bonus latihan soal juga Udah siap #KaburAjaDulu kan️ https://t.co/ltWLunooOL https://t.co/P1UMlpx4qB
nikosamuel77,Mon Apr 07 03:59:43 +0000 2025,Ternyata ini alasan Orang Indonesia banyak yang mendirikan bisnis di Singapura? https://t.co/io8dFRoIxR #KaburAjaDulu #AnakMudaBerprestasi #Bisnisglobal #Pendirianperusahaan #pendirianpt #Pajakperusahaan
Yudaa13,Mon Apr 07 03:55:32 +0000 2025,@GuarEmperor Makin yakin #kaburajadulu
lovelutionz,Mon Apr 07 03:49:44 +0000 2025,gak punya harapan hidup layak kedepannya soalnya bener bener SURAM trs gak bisa kaburajadulu anjeenggggg emang solusinya cm mati bangsat
cryptofrostz,Mon Apr 07 03:43:27 +0000 2025,dengan kondisi ekonomi kayak gini gue sempet mikir #KaburAjaDulu tapi gue sendiri gabisa sembarangan kabur karna banyak alasan. gue curhat ke chatgpt dan responnya: https://t.co/zXwaC2FVgE
seayyu_,Mon Apr 07 03:22:22 +0000 2025,Isyarat disuruh #kaburajadulu wkwk
creamyawnzz,Mon Apr 07 03:17:34 +0000 2025,@gyubamiey iya plis #kaburajadulu mau pindah
RickyKardjono,Mon Apr 07 03:14:25 +0000 2025,Indonesia sdg tdk baik² saja...🇮🇩 #IndonesiaGelap #indonesiamakingelap #IndonesiaGelapJilid2 #TolakRUUTNI #TolakRUUPolri #TolakRUUKUHAP #KaburAjaDulu https://t.co/VTIdr0FnLz
silay,Mon Apr 07 03:10:59 +0000 2025,Memaknai tagline #KaburAjaDulu dengan lebih tepat.
dexmosyen,Mon Apr 07 02:58:53 +0000 2025,...... kaburajadulu? https://t.co/iPOeJxPUzW
wonglicik062,Mon Apr 07 02:58:00 +0000 2025,@cadoize3 Nah bener tidak melihat batas umur ini baru bagus apa kita #KaburAjaDulu ke negara itu
zaitakudreamer,Mon Apr 07 02:25:34 +0000 2025,The intro to Tropical Therapy in Mexico City Bener² semangatnya #KaburAjaDulu https://t.co/V24zACIssu
luckyars02,Mon Apr 07 02:16:59 +0000 2025,@NenkMonica Dan akhirnya saya setuju dgn trend kaburajadulu.... Walaupun mustahil untuk kaburajadulu...
daamselettee,Mon Apr 07 01:44:54 +0000 2025,Day 1 berhasil #kaburajadulu https://t.co/H5cnuHh3pw
Cosmicmilktea,Mon Apr 07 01:43:56 +0000 2025,@nallnalaaa Cucu yang rambut pink yang demo ya kayanya anak yang jilbab pink kaburajadulu ke jepang anak yang bungsu jilbab biru suaminya di-phk? 
Moniqque___,Mon Apr 07 01:43:24 +0000 2025,@GRESAIDZ Padahal bisa jadi #kaburajadulu via jav ka
koobilucky,Mon Apr 07 01:41:15 +0000 2025,Dikasih koper disuruh #kaburajadulu
alongnibras,Mon Apr 07 01:18:16 +0000 2025,@grok @grok apa ga sengsara itu saya tiap bulan grok? . ada alternatif lain ga si? kata tante di aussie walau menjadi wna asal Indonesia disana kita masih bisa berkuliah sambil bekerja dengan gaji lumayan. apa bisa jadi opsi yg lain? #kaburajadulu ?
ryadhmega_,Mon Apr 07 01:14:51 +0000 2025,Lord mengikuti gerakan #kaburajadulu
telcantik,Mon Apr 07 01:02:23 +0000 2025,selamat hari brojol aries boy gelion! semoga semakin banyak duit biar bisa ikut trend #kaburajadulu @gelioncalix (insert miong bawa lope pink) https://t.co/zy9uaM7j0b
salmaaalika,Mon Apr 07 01:00:26 +0000 2025,Bian jangan pulang! Mending #KaburAjaDulu
JanissaryD_Last,Mon Apr 07 00:53:06 +0000 2025,@cadoize3 Alternatif kalo ntar jadi #kaburajadulu
laluneclipse,Mon Apr 07 00:49:03 +0000 2025,gul #/kaburajadulu yok kerumah ku nanti makan lidah meong yg enak
VanesaNessa1307,Mon Apr 07 00:46:12 +0000 2025,Nih buat Yang bilang: Yaelah Amerika gk bkal jdi gelap kek Indo damai2 aja tuh liatnya klu sama trump yuk ke amerika mumpung #kaburajadulu ya kan NOHHH AMERIKA UDH KEK INDONESIA SAMA2 GELAP :v
AntoniusCDN,Sun Apr 06 23:15:09 +0000 2025,@C_D3pp Selamat telah #KaburAJaDulu dr Indonesia
TOM5helby,Sun Apr 06 23:00:02 +0000 2025,@C_D3pp Akhirnya Sugianto berhasil #KaburAjaDulu permanen 
hendra_bndol,Sun Apr 06 22:48:04 +0000 2025,@kapten37586 @tempodotco @grok Kmrn yg bacotan ngebully #kaburajadulu mana nih? Tuh ada WNI yg jd warga negara lain + jadi bandar judol koq pd diem2 aja
Polusi_udara78,Sun Apr 06 19:52:50 +0000 2025,#Asean #Smog #trending #southeastAsia #BakarSampah #KaburAjaDulu #IndonesiaGelap🇮🇩 #AirPollution @infoBMKG @dinaslhdki @DKIJakarta @LBH_Jakarta @pramonoanung Atasilah polusi udara beracun Jakarta dgn niat yg tulus sungguh2 dan bermanfaat bagi sesama. Gunakan cara cerdas kekinian https://t.co/qh6nlZ8zuc
mikakosukasuka,Sun Apr 06 19:32:49 +0000 2025,@kayaeaya gatau gamau tau gamau balik #KaburAjaDulu
AaronDVankov,Sun Apr 06 18:38:19 +0000 2025,jan: peringatan darurat feb: KaburAjaDulu maret: indonesiagelap ruu tni yah kemaren katanya april ikut jg ternyata april di skip kehabisan dana nih? 
istriable06,Sun Apr 06 18:11:31 +0000 2025,@Piyusaja2 Jadi kalo temen kalian pergi kerja ke kamboja trus jadi admin slot tapi susah pulang itu adalah usaha pemerintah dalam mensukseskan #KaburAjaDulu ya. Makasih all oligarkeyy
abulmuzaffar10,Sun Apr 06 18:01:56 +0000 2025,Orang Medan susah dapat kerja sampai bikin warkop di Kamboja. #KaburAjaDulu https://t.co/xoHSmj8W0G
sound_of_skye,Sun Apr 06 18:00:19 +0000 2025,Goks jg yg...wkwkwk bilang kaburajadulu bukan pilihan yg wise di masa2 skrg ini Kekk....KOK BISA???? LOGISKAH???
minivrz,Sun Apr 06 17:33:20 +0000 2025,kaburajadulu
nozaism,Sun Apr 06 17:29:24 +0000 2025,semakin terpacu 'tuk #KaburAjaDulu
devtorajd,Sun Apr 06 17:20:00 +0000 2025,Klo kata tmn gw yg kerja di kapal naikin teruus biar gw makin kaya.. adalah bukti sebaiknya #KaburAjaDulu
txbtryr,Sun Apr 06 16:31:07 +0000 2025,@remark_ablee802 Apakah enih saatnya kita pakai hestek # kaburajadulu
DianxiaWang,Sun Apr 06 16:30:57 +0000 2025,Mending #KaburAjaDulu ke Hongkong dengan jobdesk begini + weekend libur seenggaknya bisa dapet lah 4000 HKD sebulan buat ART pemula
Mediteranianflk,Sun Apr 06 16:28:48 +0000 2025,Dalam rangka #KaburAjaDulu kami mempersiapkan skill dan kebutuhan untuk menyeberang ke Kanada. Bisa dilihat kemampuan rekan saya yang bisa diukur lewat sempak hello yang mencuat. https://t.co/JC2jtbd2KT
firnnita,Sun Apr 06 16:24:58 +0000 2025,@agh___ @lunettique t- t- t- api mah kalo sama dia aku bisa #kaburajadulu dan dia bisa nafkahin aku kok 
arkivitas,Sun Apr 06 16:11:53 +0000 2025,Umroh lanjut master dg beasiswa full dan/atau work abroad (#KaburAjaDulu wkwkwk)
seoieeive,Sun Apr 06 15:48:19 +0000 2025,manifest indo dulu gapapa nanti bisa di LN #KaburAjaDulu
changminqt_,Sun Apr 06 15:33:18 +0000 2025,Jangan pulang dulu bian indo lagi banyak huru haranya mending #KaburAjaDulu
caramels___,Sun Apr 06 15:26:14 +0000 2025,kupse jalan² sendiri di amrik. kek sendirian bgt gtu? hmmmm apa w nyusul yah #KaburAjaDulu
lovingluvi,Sun Apr 06 15:21:53 +0000 2025,Emang paling bener bikin paspor terus #KaburAjaDulu menjadi diaspora terus bikin konten yt‍↕️‍↕️‍↕️‍↕️
flzames,Sun Apr 06 14:52:33 +0000 2025,@jilansy masalahnya takut gak keburu #KaburAjaDulu
societysite,Sun Apr 06 14:48:47 +0000 2025,@7thdolors Kenapa sayangnya gak dibanyakin aja? Mau kaburajadulu kemana kita sayang?
roy1alien,Sun Apr 06 14:32:52 +0000 2025,@Rzk36888214 @tanyakanrl Semua toko emas bisa utk antam bahkan bisa dijual di luar negeri krn wes sertifikat internasional. Jaga2 klu mau #KaburAjaDulu msh laku dijual disana
vic_hasiholan,Sun Apr 06 14:30:52 +0000 2025,@menyayurkan @grok Dianggap virus misal budaya Sebat dulu tadinya gak ada di buruh² migran di negara Jepang. Eh gara² ada oknum WNI sering ngelakuin itu dan aman² aja akhirnya pada ditiru teman²nya. Makanya #KaburAjaDulu tetap butuh koneksi dan mampu meyakinkan negara tujuannya dulu.
7thdolors,Sun Apr 06 14:29:14 +0000 2025,@societysite gak mau ah. gak menghasilkan jadi dosen. mending gue ikut kaburajadulu. km mau ikut gak? free spot karna aku sayang dikit sama km.
minjuensiti,Sun Apr 06 14:16:11 +0000 2025,Mau kaburajadulu tapi ke dunia anime dan menikah dengan Kuroo Tetsuroo. https://t.co/MSIa7uflL7
h0n3yyd3ar,Sun Apr 06 13:54:37 +0000 2025,semoga 3/4 tahun lagi gue bisa lebaran di korea/Jepang alias gue bisa ikutan #KaburAjaDulu
AlvikaSendy,Sun Apr 06 13:53:02 +0000 2025,Anak jaman dulu: Hidup itu harus susah Kalo gampang lupa bersyukur.. Anak jaman sekarang: Hidup itu harus gampang Kalo hidup susah bikin hashtags #KaburAjaDulu
jilansy,Sun Apr 06 13:50:17 +0000 2025,@teecoffee_ boleh jg asal #kaburajadulu
Fellyflx,Sun Apr 06 13:49:14 +0000 2025,Semuanya aja toxic ya bub berharap gula #/kaburajadulu wkwk
