username,created_at,full_text
dina_ramay,Wed Apr 09 23:05:52 +0000 2025,Bagi yang butuh reset saatnya kabur aja dulu! Mungkin di tempat yang lebih sepi baru pikiran lebih jernih. #KaburAjaDulu #thaeyung #ridwankamil https://t.co/xXXYw3plur
donghyununpad,Wed Apr 09 22:57:32 +0000 2025,Mimpi kabur ke US gara gara ketiduran dengan kondisi belum baca kasus kaburajadulu
brooklynbrick89,Wed Apr 09 22:56:00 +0000 2025,2 peserta berhasil #KaburAjaDulu . Alhamdulillah ya mereka sudah mendapat di bandara Shizuoka dgn selamat. penempatan di bidang perhotelan program Skill Worker. Sehat selalu ya berkah dan betah. Ayo yg mau ke jepang. https://t.co/O6absJMvk6
Polusi_udara78,Wed Apr 09 22:12:46 +0000 2025,#Asean #Smog #trending #southeastAsia #BakarSampah #KaburAjaDulu #IndonesiaGelap🇮🇩 #AirPollution @infoBMKG @dinaslhdki @DKIJakarta @LBH_Jakarta @pramonoanung 6:11 am bau asap bakaran sampah ini di jis tdk tercium. Di sunter agung temgah dan danau sunter selatan terasa kacau🇮🇩 https://t.co/EpcsKQPzqQ
greanteaddict,Wed Apr 09 21:41:36 +0000 2025,@Spinaischiadica nih gue karna blm lulus kuliah aja masih berkutat di jkt tar juga gue #KaburAjaDulu ke bangkok‍️
dina_ramay,Wed Apr 09 21:16:53 +0000 2025,Kadang yang terbaik memang kabur aja dulu. Cari ketenangan baru kembali lagi. #KaburAjaDulu #KimSooHyun #thaeyung https://t.co/HLCGeDtaRR
dina_ramay,Wed Apr 09 20:46:55 +0000 2025,Dana kaget cuman ada di stationbet sebesar 14.950 #danakaget #KaburAjaDulu #stationbet #MingyuSweetestBoy28Th #KimSooHyun https://t.co/RBsBDPUzjJ
yohanesrobby_,Wed Apr 09 19:50:54 +0000 2025,@ARSIPAJA Padahal pionir #KaburAjaDulu
Aritogel_resmi,Wed Apr 09 19:05:18 +0000 2025,paling ngomongin utang negara sama depo wd 3 malem bisa itu itu aja yang di bahas #slotgacor #slot #gameslot #slotolympus #fyp #viral #tranding #sosmed #jacpot #gemini_NT #vidoebucin #kaburajadulu #busalsa #busalsaviral #videoviral #slotgacor #bidanviral https://t.co/JLz1wfn1qZ
softlencs,Wed Apr 09 18:06:29 +0000 2025,@ruangterbatas amin amin amin amin amin. biar sekalian bisa realisasikan ht kaburajadulu
woomiwn,Wed Apr 09 17:42:11 +0000 2025,@yamghyuk bingung juga wdyt kita #KaburAjaDulu?
torehkisah,Wed Apr 09 17:23:56 +0000 2025,@heavendrinker Apa ya? Mungkin tren hastag kaburajadulu? Memacu semangat orang-orang untuk menjadi lebih baik biar bisa pergi ke negara impiannya? Hahaha.
KEBUNMEMORl,Wed Apr 09 17:08:58 +0000 2025,jam-jam rawan ngobrol sama chatgpt imagine buatin skema anggaran living cost kalo tiba-tiba #KaburAjaDulu ke jepang
tNoceur,Wed Apr 09 16:40:23 +0000 2025,@Myungjyae Aneh banget sih Ayah. Kata aku kamu #kaburajadulu deh Kak!
sukaselada,Wed Apr 09 16:31:48 +0000 2025,@leipnky udah cocok buat #kaburajadulu 
tNoceur,Wed Apr 09 16:31:04 +0000 2025,@Taishho Benar sekali gak usah didengarkan! #kaburajadulu
djuliey,Wed Apr 09 16:00:59 +0000 2025,Hari ini ada teks tentang #KaburAjaDulu malemnya lanjut diskusi latsol simpulan teks sama kak ros. Tbh udah mulai ngerasa sedikit berat buat konsisten tapi juga inget punya tujuan besar yang harus dicapai dengan usaha besar. I'll always do my best https://t.co/4QlbxshEbX
poddium,Wed Apr 09 15:56:01 +0000 2025,@phxlxcdd asli pada mau ke mana si orang-orang # kaburajadulu
hazeliian,Wed Apr 09 15:44:05 +0000 2025,@escalvandyke aku baru pindah ke negaramu bermodal english paspasan (kaburajadulu anjay) kita tetanggaan dan mulai dekat karena kamu mau bantu aku belajar bahasamu. Tapi sejak jadian kamu malah mau belajar bahasaku karena juga mau ngertiin aku bukan cuma aku yang ngertiin kamu. https://t.co/TVvakj7qgF
iseatingramen,Wed Apr 09 15:38:55 +0000 2025,@pemudajawa Emang tolol kalo #kaburajadulu disini mah jalan bawa anjing gapake leash udah didatengin polisi
cerawrr,Wed Apr 09 15:37:14 +0000 2025,@tonmuguet HALAH LEBAY BGT BARU BRP MINGGU KABURAJADULU
felixgalon,Wed Apr 09 15:30:01 +0000 2025,ya pantes aja ni negara dapet pemimpin model gitu emg satu satunya jalan ya #KaburAjaDulu
asaprockiyah,Wed Apr 09 15:22:29 +0000 2025,@kjmdilfest inget kaburajadulu
rizalakbarm_,Wed Apr 09 15:17:18 +0000 2025,Ya pastilah pak gimana sih orang kalo banyak duit pasti diem tapi kalo gapunya duit/duitnya ilang yakali dia diem doang. Masih di sesinya yg sama Pak Prabowo juga nyinggung soal #IndonesiaGelap &amp; #KaburAjaDulu dan lagi2 maaf pak jawaban anda sangat tidak 'napak tanah'.
akubukanako,Wed Apr 09 13:36:37 +0000 2025,@el_avraham apalagi kaum tsb bbrp diantara nya juga menghasut utk kaburajadulu. udah mah merusak indonesia ga peduli dah gitu main kabur ke luar. ibarat bocah maen becek2an di halaman org jadi lumpur2an tapi abis itu lupa matiin keran aer terus jalan di lantai org terus kabur pulang
minggudesu,Wed Apr 09 13:34:21 +0000 2025,mama ku tinggal di kuwait 1970-an selama 12th katanya ga enak. skrng kalo mau #KaburAjaDulu ke kuwait jg gak rekomen dsna lebih parah dr indo kritik pemerintah dikit aja bisa dicabut kewarganegaraan mu. sejauh ini ada 42ribu kewarganegaraan yg dicabut selama 6 bulan terakhir.
rpurwa,Wed Apr 09 13:34:19 +0000 2025,@innovacommunity pake duluan mobilnya #kaburajadulu
indrajatim,Wed Apr 09 13:24:43 +0000 2025,@raracetamol Udahnya kepikiran #kaburajadulu part 2 tek?
piatoswin,Wed Apr 09 13:21:20 +0000 2025,@manifeswin Keknya kita hrus #kaburajadulu
spiderjieee,Wed Apr 09 13:17:25 +0000 2025,@sijeunize dibilang kaburajadulu 
jellyjinwoo,Wed Apr 09 13:05:33 +0000 2025,@ellabbyong lanjutin nak.. ini modal kmu buat #kaburajadulu
kimchivet,Wed Apr 09 12:57:43 +0000 2025,jangan balik ke indo kata w mah meg boyong keluarga aja keluar alias #kaburajadulu
bonnieptrps,Wed Apr 09 12:38:38 +0000 2025,@soobibeanie bener banget kapan ya #KaburAjaDulu
orugatou,Wed Apr 09 12:26:23 +0000 2025,@starfihsi princess kita #kaburajadulu yuk
Ayuniversexy,Wed Apr 09 12:17:53 +0000 2025,Tidak ada jalan keluar selain kaburajadulu https://t.co/lzMFnXCE39
seijisuzuki6,Wed Apr 09 12:14:47 +0000 2025,Ternyata Pemimpin Omon-Omon Blunder Lagi... #prabowogibranmunduraja #JokowiPenipu #JokowiTakutDiAdili #kaburajadulu
jadisayaisi,Wed Apr 09 12:11:33 +0000 2025,Makanya my number one destination buat #KaburAjaDulu itu negara arab. Soalnya udah kaya raya Muslim majority juga yg mana halal untuk hijrah.
nmonarizqa,Wed Apr 09 12:04:27 +0000 2025,Mega nih orang indo banget #KaburAjaDulu tapi akhirnya #PulangAjaDeh demi keluarga Sehat2 mb Mega semoga gaji2 dan sisa tabungannya udah dimanage jadi bisa tercukupi kehidupan retire earlynya
mediitasi,Wed Apr 09 11:41:12 +0000 2025,@ars_engraphite KAK YA ALLAH AKU BARU NGEH KAKAK ULTAH ‼️⁉️⁉️‼️ happy birthday kakak cantikku gantengku cakepku paripurnaku &lt;333 semoga tambah umur tambah rezeki yaa biar bisa cepat-cepat merealisasikan kaburajadulu dan jadi user twt diaspora bersama pacarnya. ilysb https://t.co/046t3yhnqw
KesayanganSylus,Wed Apr 09 11:38:49 +0000 2025,@mutedcolur iya kan #kaburajadulu :)
aldyoloo,Wed Apr 09 11:35:56 +0000 2025,@seupurane @slutymuffin Kita harus ikutan #kaburajadulu
pikachuiiiiii,Wed Apr 09 11:24:37 +0000 2025,@lia23_Only Terusin donk. Biar bisa kaburajadulu 
heeblessed,Wed Apr 09 11:16:08 +0000 2025,Menurut gue sih ini kesempatan gue untuk kaburajadulu tapi takuttttttt
for_110602,Wed Apr 09 11:14:15 +0000 2025,@jooyeonblokm @jungjooisme kl udah dapet ikutan titip london boys yg mau dinikahin pake paper rings kakak aku jg mau kaburajadulu https://t.co/iPUJPkCt3s
lobacengek,Wed Apr 09 11:07:30 +0000 2025,@butterfimoalit bestienya udah #kaburajadulu wkwk tp ada yg lain sih ini mau otw
sturayee,Wed Apr 09 11:03:02 +0000 2025,cape bngt kapan gua bisa #kaburajadulu
krhmila,Wed Apr 09 11:00:46 +0000 2025,Umur 25 mau nambah skill bahasa buat nanti #kaburajadulu Better belajar Japanese or Mandarin dulu ya?
endonkkeren,Wed Apr 09 11:00:06 +0000 2025,Alhamdulillah masih dapet tax refund tahun ini dari pemerintah #KaburAjaDulu https://t.co/KeZnp9BfpH
iamnotaurie,Wed Apr 09 10:46:04 +0000 2025,mamazar siap ikut trend #kaburajadulu 
camillaviest,Wed Apr 09 10:43:43 +0000 2025,dan yap aku tim mamazar fokus sama beasiswanya aja terus kuliah di luar negeri tinggalin aja semua yang stresss (fattah diah lidya) goodluck mama lofiu #fattzar #kaburajadulu
parkminuu,Wed Apr 09 10:34:03 +0000 2025,Fase KaburAjaDulu dari skripsi alias pergi ke Jakarta 2 bulan tanpa mikirin skripsi padahal nyusun bab 4 aja belum. https://t.co/qzbvuX6aww
kompasmuda,Wed Apr 09 10:30:37 +0000 2025,Belakangan ini tagar-tagar seperti #IndonesiaGelap #KaburAjaDulu dan #PeringatanDarurat sedang marak digunakan di berbagai kanal sosial media #️⃣ #MudaKuliah #AdadiKompas https://t.co/li6AfKu3Jn https://t.co/Lj551kkMwH
imissyouhamm,Wed Apr 09 10:24:31 +0000 2025,@sosrsaparila @bakuldimsum_ Kak sepertinya kita harus #kaburajadulu biar hidup sedikit lebih terjamin dibanding disini. Pengen ke jejuuuuuu
bedazzlingyou,Wed Apr 09 10:04:13 +0000 2025,kayanya mukaku keliatan #KaburAjaDulu bgt kah sampe org imigrasi nanya nanya seputar itu padahal aku extend sama mamaku dan blio FREE PASSED 
mistaeribox,Wed Apr 09 09:58:27 +0000 2025,@fathale Udh ngerti gtu knp pd mau #kaburajadulu ke sana deh?
aks_santai,Wed Apr 09 09:54:40 +0000 2025,@tempodotco Percuma klo kampus/universitas diam² kerja sama dengan TNI dengan dalih 'bela negara' lama-kelamaan negeri ini kembali jadi otoritarian fasis-zionis (mengikuti jejak otoritarianisme dari Myanmar Nigeria Chili dan Filipina). Emang udah bener menuju #KaburAjaDulu dengan matang.
ashyjackals,Wed Apr 09 09:50:29 +0000 2025,Ya Tuhan mau kaburajadulu tapi duitnya dari mane
